case,num,MN,FCFS max_delay,last lane change max_delay,out_lane_change max_delay,FCFS mean_delay,last lane change mean_delay,out_lane_change mean_delay,FCFS maxe,last lane change maxe,out_lane_change maxe,milp time,fcfs time,heuristic time
04_3_60,1,3_4,58.51,67.65,58.51,26.52032786885246,24.202786885245903,22.688032786885245,117,127,117,2.0976717313130697,0.010042079289754232,0.009840178489685058
04_3_60,2,3_4,60.220000000000006,50.46000000000001,60.220000000000006,20.377246376811595,19.200289855072466,18.35855072463768,119,110,119,1.5489180405934653,0.011465072631835938,0.011855189005533855
04_3_60,3,3_4,58.010000000000005,59.010000000000005,56.010000000000005,23.350615384615388,23.464307692307695,22.269538461538463,117,118,114,1.643046220143636,0.009430591265360515,0.00903943379720052
04_3_60,4,3_4,70.81,69.86000000000001,62.81000000000001,28.52776315789474,29.73434210526316,25.38671052631579,130,129,122,1.7799845933914185,0.013906145095825195,0.013144652048746744
04_3_60,5,3_4,63.690000000000005,58.46,50.690000000000005,20.430253164556962,22.88607594936709,17.16506329113924,122.23,117,109.23,1.796713916460673,0.01699961026509603,0.016239349047342935
04_3_60,6,3_4,60.459999999999994,59.62,50.459999999999994,22.607272727272726,22.080757575757573,16.16621212121212,119,119,109,1.824660603205363,0.0136793851852417,0.012299625078837077
04_3_60,7,3_4,23.130000000000003,23.490000000000002,19.110000000000007,10.921923076923079,10.381538461538463,8.912307692307694,78,83,78,0.9292923291524251,0.006647825241088867,0.006561557451883952
04_3_60,8,3_4,43.27,47.63999999999999,41.910000000000004,16.655806451612904,15.609838709677419,14.185,102,106,96,1.295435913403829,0.009967819849650065,0.009723917643229166
04_3_60,9,3_4,53.55000000000001,50.35,52.55000000000001,17.175454545454546,16.58606060606061,15.205757575757577,113,109,112,1.7325545310974122,0.011598881085713704,0.014926465352376302
04_3_60,10,3_4,76.02,67.79,56.790000000000006,26.785600000000002,25.2256,21.878933333333332,135,127,116,1.8669759035110474,0.015264391899108887,0.018119295438130695
06_3_20,1,3_4,14.420000000000002,14.420000000000002,12.88,6.389642857142857,6.389642857142857,5.9775,32.42,32.42,28.42,0.2044879674911499,0.002361329396565755,0.0023532390594482424
06_3_20,2,3_4,8.480000000000002,8.480000000000002,8.480000000000002,3.5168181818181825,3.471363636363637,3.0131818181818186,26.23,26.23,24.33,0.129272198677063,0.0015657822291056315,0.0015215714772542318
06_3_20,3,3_4,11.950000000000003,11.950000000000003,12.089999999999998,5.478888888888889,5.478888888888889,5.21962962962963,30,30,27,0.20817397435506185,0.0022896766662597657,0.0029597123463948566
06_3_20,4,3_4,15.77,17.39,10.43,6.380625000000001,6.166250000000001,5.034375000000001,34,37,29.48,0.2935539086659749,0.003186806042989095,0.003366231918334961
06_3_20,5,3_4,26.98,26.98,23.03,10.311111111111112,10.59361111111111,8.477222222222222,45.43,45.43,43,0.3826506773630778,0.0036367019017537433,0.003542741139729818
06_3_20,6,3_4,19.760000000000005,18.760000000000005,14.560000000000002,6.6732258064516135,6.533870967741936,5.354516129032259,39,37.870000000000005,33.8,0.2898934523264567,0.002905837694803874,0.004178730646769205
06_3_20,7,3_4,21.51,21.51,18.51,7.613214285714286,7.992857142857143,6.838214285714286,38.81,38.81,34.81,0.3271821657816569,0.00285034974416097,0.002177707354227702
06_3_20,8,3_4,22.720000000000006,22.720000000000006,15.5,7.480937500000001,7.251562500000001,6.3053125,42.370000000000005,42.370000000000005,34.15,0.2769527832667033,0.0032316128412882487,0.003155684471130371
06_3_20,9,3_4,11.34,10.52,10.630000000000003,5.079166666666667,4.9125000000000005,5.240000000000001,30.3,29.58,28,0.2967814604441325,0.002645254135131836,0.0022701104482014973
06_3_20,10,3_4,17.61,17.29,12.61,6.070689655172414,5.716206896551724,4.596206896551724,37,36.68,31.009999999999998,0.24806952476501465,0.0025695164998372397,0.002596147855122884
06_3_40,1,3_4,36.319999999999986,41.809999999999995,28.79,14.97381818181818,14.551636363636362,11.563636363636363,69.50999999999999,79,65,0.8805211782455444,0.009380658467610678,0.009384218851725261
06_3_40,2,3_4,49.7,49.7,36.7,18.065151515151516,18.86469696969697,15.670151515151515,89,89,76,1.4044492642084758,0.019953314463297525,0.01923192342122396
06_3_40,3,3_4,51.54999999999999,51.54999999999999,35.01,18.021129032258067,20.448870967741932,12.875967741935485,91.53999999999999,91.53999999999999,75,1.2826520204544067,0.012037269274393718,0.010265040397644042
